Country,2010
AUS: Australia,18.08219281
AUT: Austria,28.37167865
BEL: Belgium,50.59441002
CAN: Canada,27.40894928
CHL: Chile,14.96501368
CZE: Czech Republic,..
DNK: Denmark,68.50783182
EST: Estonia,8.066064913
FIN: Finland,69.95859242
FRA: France,7.840700696
DEU: Germany,18.5644806
GRC: Greece,25.20582188
HUN: Hungary,..
ISL: Iceland,..
IRL: Ireland,32.69144648
ITA: Italy,35.4578113
JPN: Japan,18.28110795
KOR: Korea,9.681506143
LUX: Luxembourg,..
MEX: Mexico,14.35817882
NLD: Netherlands,18.62865016
NZL: New Zealand,20.77991242
NOR: Norway,54.81205913
POL: Poland,14.58388152
PRT: Portugal,19.34075141
SVK: Slovak Republic,16.94828206
SVN: Slovenia,26.27298887
ESP: Spain,15.55888246
SWE: Sweden,68.2198446
CHE: Switzerland,17.13153796
TUR: Turkey,5.853251708
GBR: United Kingdom,26.36253532
USA: United States,11.38345975
